method,split,mae_mean,mae_std,qwk_mean,qwk_std,auc_ge1_mean,auc_ge1_std,auc_ge3_mean,auc_ge3_std,auc_ge5_mean,auc_ge5_std
CORN,test,0.33543417366946776,0.032090866211175344,0.5448105296737346,0.039263643678856666,0.8532411044194234,0.009524296858189075,0.8504139957264957,0.026209712161351928,0.9957894736842104,0.0021052631578946795
CORN,val,0.3432098765432099,0.017283950617283945,0.581558988986898,0.03684305596452988,0.8066436349472471,0.004932974807028309,0.9155074334337204,0.0124936490326538,0.973905723905724,0.02250448507690857
Existing Ordinal (Ord2Seq),test,0.32843137254901955,0.02226626483975444,0.5712163521413794,0.027169853384498618,0.869584824415932,0.004462555281844982,0.7380408653846153,0.0697157865084984,0.968421052631579,0.016442630896645542
Existing Ordinal (Ord2Seq),val,0.3465020576131687,0.0062138555022804845,0.5978853297968394,0.039013229158304644,0.8085403647817914,0.007464527777094473,0.7951503417945408,0.04037436580577929,0.9339225589225588,0.003340595089728061
Ord2Seq-guided Softmax OrdPlus,test,0.30823567234124429,0.023325223636224563,0.5893747227584022,0.031346854553265789,0.8685592505309708,0.01235974509760455,0.8630876068376069,0.002778419756518802,0.9663157894736841,0.040165861112292395
Ord2Seq-guided Softmax OrdPlus,val,0.32674897119341556,0.025699580240322643,0.6508348210309222,0.021818975381221968,0.808328676184186,0.0054110785752655615,0.9178498016157559,0.009942568068136357,0.9622147399925178,0.02797734281235365
Softmax baseline,test,0.335263245688551,0.033456234774234856,0.5772344875890996,0.027454677889033352,0.8769420441651392,0.008795212358175524,0.866426282051282,0.003921987119767253,0.9649122807017544,0.050233067138732
Softmax baseline,val,0.3440329218106995,0.019957787083098203,0.5840220770884615,0.029293235077602793,0.7927102914528613,0.0033948964441236373,0.9138343133036951,0.005330029108376689,0.9516460905349794,0.03951383766154633
